code,name,url,type,manager,company
156,000198,天弘余额宝货币,http://fund.eastmoney.com/000198.html,货币型,王登峰,天弘基金
157,000199,国泰策略收益灵活配置混合,http://fund.eastmoney.com/000199.html,混合型,艾小军,国泰基金
158,000200,博时岁岁增利一年定开债券,http://fund.eastmoney.com/000200.html,定开债券,鲁邦旺,博时基金
159,000201,诺安泰鑫一年定期开放债券A,http://fund.eastmoney.com/000201.html,定开债券,岳帅,诺安基金
160,000202,富国目标收益两年期纯债债券,http://fund.eastmoney.com/000202.html,定开债券,钟智伦,富国基金
161,000203,国富日日收益货币A,http://fund.eastmoney.com/000203.html,货币型,王莉,国海富兰克林基金
162,000204,国富日日收益货币B,http://fund.eastmoney.com/000204.html,货币型,王莉,国海富兰克林基金
163,000205,易方达投资级信用债债券A,http://fund.eastmoney.com/000205.html,债券型,王晓晨,易方达基金
164,000206,易方达投资级信用债债券C,http://fund.eastmoney.com/000206.html,债券型,王晓晨,易方达基金
165,000207,建信双债增强债券A,http://fund.eastmoney.com/000207.html,债券型,朱虹,建信基金
166,000208,建信双债增强债券C,http://fund.eastmoney.com/000208.html,债券型,朱虹,建信基金
167,000209,信诚新兴产业混合,http://fund.eastmoney.com/000209.html,混合型,郑伟,信诚基金
168,000210,光大保德信现金宝货币A,http://fund.eastmoney.com/000210.html,货币型,蔡乐,光大保德信基金
169,000211,光大保德信现金宝货币B,http://fund.eastmoney.com/000211.html,货币型,蔡乐,光大保德信基金
170,000212,泰信鑫益定期开放债券A,http://fund.eastmoney.com/000212.html,定开债券,何俊春,泰信基金
171,000213,泰信鑫益定期开放债券C,http://fund.eastmoney.com/000213.html,定开债券,何俊春,泰信基金
172,000214,广发成长优选混合,http://fund.eastmoney.com/000214.html,混合型,王小松,广发基金
173,000215,广发趋势优选灵活配置,http://fund.eastmoney.com/000215.html,混合型,谭昌杰,广发基金
174,000216,华安黄金易ETF联接A,http://fund.eastmoney.com/000216.html,联接基金,徐宜宜,华安基金
175,000217,华安黄金易ETF联接C,http://fund.eastmoney.com/000217.html,联接基金,许之彦,华安基金
