code,name,url,type,manager,company
414,000531,东吴阿尔法灵活配置混合,http://fund.eastmoney.com/000531.html,混合型,王立立,东吴基金
415,000532,景顺长城优势企业混合,http://fund.eastmoney.com/000532.html,混合型,江科宏,景顺长城基金
417,000534,长盛高端装备制造灵活配置,http://fund.eastmoney.com/000534.html,混合型,乔培涛,长盛基金
418,000535,长盛航天海工装备灵活配置,http://fund.eastmoney.com/000535.html,混合型,乔培涛,长盛基金
420,000538,诺安优势行业混合A,http://fund.eastmoney.com/000538.html,混合型,吴博俊,诺安基金
423,000541,华商创新成长灵活配置,http://fund.eastmoney.com/000541.html,混合型,高兵,华商基金
426,000545,中邮核心竞争力混合,http://fund.eastmoney.com/000545.html,混合型,任泽松,中邮基金
428,000547,建信健康民生混合,http://fund.eastmoney.com/000547.html,混合型,姜锋,建信基金
431,000550,广发新动力混合,http://fund.eastmoney.com/000550.html,混合型,马文文,广发基金
432,000551,信诚幸福消费混合,http://fund.eastmoney.com/000551.html,混合型,张光成,信诚基金
435,000554,中国梦基金,http://fund.eastmoney.com/000554.html,混合型,蔡望鹏,南方基金
436,000556,国投新机遇混合A,http://fund.eastmoney.com/000556.html,混合型,桑俊,国投瑞银基金
437,000557,国投新机遇混合C,http://fund.eastmoney.com/000557.html,混合型,桑俊,国投瑞银基金
444,000566,华泰柏瑞创新升级混合,http://fund.eastmoney.com/000566.html,混合型,张慧,华泰柏瑞基金
445,000567,广发聚祥灵活混合,http://fund.eastmoney.com/000567.html,混合型,易阳方,广发基金
447,000571,中邮双动力混合,http://fund.eastmoney.com/000571.html,混合型,张萌,中邮基金
448,000572,中银多策略混合,http://fund.eastmoney.com/000572.html,混合型,李建,中银基金
449,000573,天弘通利混合,http://fund.eastmoney.com/000573.html,混合型,姜晓丽,天弘基金
450,000574,宝盈新价值混合,http://fund.eastmoney.com/000574.html,混合型,段鹏程,宝盈基金
459,000584,新华鑫益灵活配置混合,http://fund.eastmoney.com/000584.html,混合型,崔建波,新华基金
460,000585,嘉实对冲套利定期混合,http://fund.eastmoney.com/000585.html,混合型,刘斌,嘉实基金
462,000587,大成灵活配置混合,http://fund.eastmoney.com/000587.html,混合型,王磊,大成基金
464,000589,光大保德信银发商机混合,http://fund.eastmoney.com/000589.html,混合型,陈栋,光大保德信基金
465,000590,华安新活力混合,http://fund.eastmoney.com/000590.html,混合型,贺涛,华安基金
466,000591,中银健康生活混合,http://fund.eastmoney.com/000591.html,混合型,辜岚,中银基金
470,000595,嘉实泰和混合,http://fund.eastmoney.com/000595.html,混合型,归凯,嘉实基金
472,000597,中海积极收益混合,http://fund.eastmoney.com/000597.html,混合型,刘俊,中海基金
473,000598,长盛生态环境主题混合,http://fund.eastmoney.com/000598.html,混合型,刘旭明,长盛基金
476,000601,华宝创新优选混合,http://fund.eastmoney.com/000601.html,混合型,代云锋,华宝基金
478,000603,易方达创新驱动灵活配置混合,http://fund.eastmoney.com/000603.html,混合型,樊正伟,易方达基金
483,000609,华商新量化灵活配置混合,http://fund.eastmoney.com/000609.html,混合型,邓默,华商基金
484,000612,华宝生态中国混合,http://fund.eastmoney.com/000612.html,混合型,夏林锋,华宝基金
491,000619,东方红产业升级混合,http://fund.eastmoney.com/000619.html,混合型,王延飞,上海东方证券资产管理
504,000634,富国天盛灵活配置混合,http://fund.eastmoney.com/000634.html,混合型,袁宜,富国基金
506,000639,宝盈祥瑞养老混合,http://fund.eastmoney.com/000639.html,混合型,陈若劲,宝盈基金
512,000646,华润元大医疗保健量化混合,http://fund.eastmoney.com/000646.html,混合型,袁华涛,华润元大基金
518,000652,博时裕隆混合,http://fund.eastmoney.com/000652.html,混合型,陈鹏扬,博时基金
519,000654,华商新锐产业混合,http://fund.eastmoney.com/000654.html,混合型,梁永强,华商基金
528,000663,国投瑞银美丽中国混合,http://fund.eastmoney.com/000663.html,混合型,董晗,国投瑞银基金
529,000664,国联安通盈混合A,http://fund.eastmoney.com/000664.html,混合型,薛琳,国联安基金
531,000667,工银绝对收益混合发起A,http://fund.eastmoney.com/000667.html,混合型,游凛峰,工银瑞信基金
534,000672,工银绝对收益混合发起B,http://fund.eastmoney.com/000672.html,混合型,游凛峰,工银瑞信基金
540,000679,招商丰利灵活配置混合A,http://fund.eastmoney.com/000679.html,混合型,何文韬,招商基金
544,000684,长盛养老健康产业灵活配置,http://fund.eastmoney.com/000684.html,混合型,刘旭明,长盛基金
549,000689,前海开源新经济混合,http://fund.eastmoney.com/000689.html,混合型,丁骏,前海开源基金
550,000690,前海开源大海洋混合,http://fund.eastmoney.com/000690.html,混合型,吴国清,前海开源基金
554,000695,大成景益平稳收益混合,http://fund.eastmoney.com/000695.html,混合型,赵世宏,大成基金
557,000698,宝盈科技30混合,http://fund.eastmoney.com/000698.html,混合型,张仲维,宝盈基金
563,000706,中邮多策略混合,http://fund.eastmoney.com/000706.html,混合型,陈梁,中邮基金
565,000708,华安安享混合,http://fund.eastmoney.com/000708.html,混合型,郑可成,华安基金
571,000714,诺安稳健回报灵活配置混合,http://fund.eastmoney.com/000714.html,混合型,吴博俊,诺安基金
574,000717,融通转型三动力灵活配置混合,http://fund.eastmoney.com/000717.html,混合型,张延闽,融通基金
583,000727,融通健康产业灵活配置混合,http://fund.eastmoney.com/000727.html,混合型,万民远,融通基金
592,000739,平安大华新鑫先锋A,http://fund.eastmoney.com/000739.html,混合型,邓翔,平安大华基金
595,000742,国泰新经济灵活配置混合,http://fund.eastmoney.com/000742.html,混合型,彭凌志,国泰基金
596,000743,红塔红土盛世普益混合发起式,http://fund.eastmoney.com/000743.html,混合型,赵耀,红塔红土
600,000747,广发逆向策略混合,http://fund.eastmoney.com/000747.html,混合型,程琨,广发基金
606,000753,华宝兴业量化对冲混合A,http://fund.eastmoney.com/000753.html,混合型,徐林明,华宝基金
607,000754,华宝兴业量化对冲混合C,http://fund.eastmoney.com/000754.html,混合型,徐林明,华宝基金
608,000755,富安达新兴成长混合,http://fund.eastmoney.com/000755.html,混合型,孙绍冰,富安达基金
610,000757,华富智慧城市灵活配置混合,http://fund.eastmoney.com/000757.html,混合型,龚炜,华富基金
615,000762,汇添富绝对收益定开混合,http://fund.eastmoney.com/000762.html,混合型,顾耀强,汇添富基金
616,000763,工银新财富灵活配置混合,http://fund.eastmoney.com/000763.html,混合型,欧阳凯,工银瑞信基金
620,000767,华富国泰民安灵活配置混合,http://fund.eastmoney.com/000767.html,混合型,龚炜,华富基金
625,000772,景顺长城中国回报灵活配置,http://fund.eastmoney.com/000772.html,混合型,杨锐文,景顺长城基金
640,000788,前海开源中国成长混合,http://fund.eastmoney.com/000788.html,混合型,徐立平,前海开源基金
646,000794,宝盈睿丰创新混合A,http://fund.eastmoney.com/000794.html,混合型,朱建明,宝盈基金
647,000796,宝盈睿丰创新混合C,http://fund.eastmoney.com/000796.html,混合型,朱建明,宝盈基金
650,000800,华商未来主题混合,http://fund.eastmoney.com/000800.html,混合型,梁永强,华商基金
655,000805,中银新经济灵活配置混合,http://fund.eastmoney.com/000805.html,混合型,史彬,中银基金
666,000822,东海美丽中国灵活配置,http://fund.eastmoney.com/000822.html,混合型,胡德军,东海基金
667,000823,银华高端制造业,http://fund.eastmoney.com/000823.html,混合型,薄官辉,银华基金
668,000824,圆信永丰双红利A,http://fund.eastmoney.com/000824.html,混合型,洪流,圆信永丰基金
669,000825,圆信永丰双红利C,http://fund.eastmoney.com/000825.html,混合型,洪流,圆信永丰基金
684,000841,富国新回报灵活配置A,http://fund.eastmoney.com/000841.html,混合型,钟智伦,富国基金
685,000843,富国新回报灵活配置C,http://fund.eastmoney.com/000843.html,混合型,钟智伦,富国基金
686,000844,南方绝对收益,http://fund.eastmoney.com/000844.html,混合型,李佳亮,南方基金
687,000845,国投瑞银信息消费混合,http://fund.eastmoney.com/000845.html,混合型,陈小玲,国投瑞银基金
691,000849,汇丰晋信双核策略A,http://fund.eastmoney.com/000849.html,混合型,丘栋荣,汇丰晋信基金
692,000850,汇丰晋信双核策略C,http://fund.eastmoney.com/000850.html,混合型,丘栋荣,汇丰晋信基金
702,000865,大成景利混合,http://fund.eastmoney.com/000865.html,混合型,赵世宏,大成基金
707,000870,嘉实新收益混合,http://fund.eastmoney.com/000870.html,混合型,陈少平,嘉实基金
714,000877,华泰柏瑞量化优选混合,http://fund.eastmoney.com/000877.html,混合型,田汉卿,华泰柏瑞基金
715,000878,中海医药健康产业混合A,http://fund.eastmoney.com/000878.html,混合型,郑磊,中海基金
