code,name,type,manager,company
001122,鹏华弘利混合A,混合型,李君,鹏华基金
001123,鹏华弘利混合C,混合型,李君,鹏华基金
001124,融通通泰保本混合C,基金规模,融通基金,基金评级
001125,博时互联网主题灵活配置混合,混合型,招扬,博时基金
001126,上投摩根卓越制造股票,股票型,许俊哲,上投摩根基金
001127,中银宏观策略混合,混合型,辜岚,中银基金
001128,宝盈新兴产业混合,混合型,盖俊龙,宝盈基金
001133,广发中证全指可选消费联接A,联接基金,陆志明,广发基金
001134,广发天天利货币E,货币型,任爽,广发基金
001135,益民品质升级混合,混合型,吕伟,益民基金
001136,易方达裕如混合,混合型,张清华,易方达基金
001137,国投瑞银岁丰利一年债券A,定开债券,蔡玮菁,国投瑞银基金
001138,国投瑞银岁丰利一年债券C,定开债券,蔡玮菁,国投瑞银基金
001139,华安新动力灵活配置混合,混合型,郑可成,华安基金
001140,工银总回报灵活配置混合,混合型,鄢耀,工银瑞信基金
001141,泰达宏利创盈混合A,混合型,傅浩,泰达宏利基金
001142,泰达宏利创盈混合B,混合型,傅浩,泰达宏利基金
001143,华商量化进取混合,混合型,邓默,华商基金
001144,大成互联网思维混合,混合型,李博,大成基金
001146,中欧瑾源灵活配置混合A,混合型,张跃鹏,中欧基金
001147,中欧瑾源灵活配置混合C,混合型,张跃鹏,中欧基金
001148,申万菱信多策略灵活配置混合A,混合型,丁杰科,申万菱信基金
001149,汇丰晋信恒生龙头指数C,股票指数,方磊,汇丰晋信基金
001150,融通互联网传媒灵活配置混合,混合型,张鹏,融通基金
001152,融通新区域新经济灵活配置混,混合型,杨博琳,融通基金
001154,北信瑞丰平安中国主题灵活配,混合型,于军华,北信瑞丰
001156,申万菱信新能源汽车混合,混合型,孙琳,申万菱信基金
001157,国联安睿祺灵活配置混合,混合型,侯慧娣,国联安基金
001158,工银新材料新能源股票,股票型,黄安乐,工银瑞信基金
001159,大成景秀灵活配置混合A,混合型,黄万青,大成基金
001160,东方永润债券A,债券型,周薇,东方基金
001161,东方永润债券C,债券型,周薇,东方基金
001162,前海开源优势蓝筹股票A,股票型,曲扬,前海开源基金
001163,银华中国梦30股票,股票型,薄官辉,银华基金
