code,return,beta,alpha,r_squared,std,up_days,max_rate,min_rate
001467,0.0625367021592,0.0504317899305,0.0327769582034,8.71803099049,0.137207463512,140,1.19,-0.48
001468,-0.205417675724,2.04730006374,-0.225664378939,86.6048564469,1.76722942662,208,6.07,-9.28
001470,0.0381273959244,0.0972876717549,0.00859087245761,46.9652982044,0.114038586513,159,0.4,-0.5
001471,0.0675594624295,1.43484401762,0.0443950307913,73.5405029434,1.34407638611,225,4.39,-8.22
001474,0.0789224397495,0.017071079565,0.0490037660331,0.639101131946,0.171537371391,120,1.19,-0.5
001475,-0.0854204666428,1.77283022667,-0.106974738703,87.5627755757,1.52191341686,227,4.73,-8.13
001479,0.109937473804,0.810744339096,0.0837998437101,37.4436465398,1.06433272133,205,4.12,-5.59
001480,-0.0803559226016,1.63334637782,-0.102574692944,82.9553698283,1.44058404153,214,4.59,-9.03
001484,0.065255900677,0.183942448703,0.0361321988442,23.5237196251,0.304657254512,235,1.73,-1.3
001485,0.0275114127147,0.0345548528357,-0.00232396865368,9.34783191749,0.0907896115465,127,0.38,-0.66
001487,0.0590547399584,1.97824937219,0.0384790806214,86.0407486251,1.71321356315,223,5.46,-8.44
001488,0.0902355666207,0.0741538555323,0.0605888341136,12.858733315,0.166118193448,259,2.19,-0.7
001489,0.0707157191009,0.0767076438173,0.0410811527904,22.6096900252,0.129590718108,254,0.63,-0.7
001491,0.151059030234,0.180276040059,0.121917861704,11.2303360977,0.432139724245,205,4.24,-1.8
001492,0.0494173974591,0.0698198202086,0.0197500176939,23.0885921112,0.116724643993,249,0.47,-0.79
001493,0.0449268583187,0.0689035225868,0.0152551133298,23.2033123848,0.114907662264,259,0.47,-0.8
001494,0.0415207438862,0.0439982976148,0.0117303509009,8.26640628709,0.122930615848,179,0.54,-0.48
001495,0.0863788391349,0.727960080712,0.0598468264808,31.7491844721,1.03782429942,230,13.91,-5.15
001499,0.0685446027447,0.0393854961407,0.038732234465,10.1381833789,0.0993662286827,157,0.38,-0.28
001500,0.095833151969,1.0220359716,0.0707021110101,87.9835058518,0.875282221975,224,2.65,-4.34
