code,name,type,manager,company
001189,广发聚宝混合,混合型,谭昌杰,广发基金
001190,鹏华弘润混合A,混合型,李君,鹏华基金
001191,鹏华弘润混合C,混合型,李君,鹏华基金
001192,上投摩根整合驱动混合,混合型,征茂平,上投摩根基金
001194,景顺长城稳健回报混合A,混合型,万梦,景顺长城基金
001196,东方鼎新灵活配置混合A,混合型,周薇,东方基金
001197,长盛转型升级主题灵活配置混,混合型,刘旭明,长盛基金
001198,东方惠新灵活配置混合A,混合型,周薇,东方基金
001201,申万菱信安鑫回报混合A,混合型,丁杰科,申万菱信基金
001202,东方红领先精选混合,混合型,纪文静,上海东方证券资产管理
001203,东方红稳健精选混合A,混合型,纪文静,上海东方证券资产管理
001204,东方红稳健精选混合C,混合型,纪文静,上海东方证券资产管理
001205,建信稳健回报灵活配置混合,混合型,牛兴华,建信基金
001206,广发聚惠混合A,混合型,代宇,广发基金
001207,广发聚惠混合C,混合型,代宇,广发基金
001209,前海开源一带一路混合A,混合型,薛小波,前海开源基金
001210,天弘互联网混合,混合型,肖志刚,天弘基金
001215,博时沪港深优质企业基金A,混合型,张溪冈,博时基金
001216,易方达新收益混合A,混合型,张清华,易方达基金
001217,易方达新收益混合C,混合型,张清华,易方达基金
001218,国投瑞银精选收益混合,混合型,桑俊,国投瑞银基金
001219,上投摩根动态多因子混合,混合型,黄栋,上投摩根基金
001220,民生加银研究精选混合,混合型,宋磊,民生加银基金
001221,国联安鑫富混合A,混合型,吕中凡,国联安基金
001222,鹏华外延成长混合,混合型,陈璇淼,鹏华基金
001224,中邮新思路灵活配置混合,混合型,国晓雯,中邮基金
001225,中邮趋势精选灵活配置混合,混合型,许进财,中邮基金
001226,中邮稳健添利灵活配置混合,混合型,张萌,中邮基金
001227,中邮信息产业灵活配置混合,混合型,任泽松,中邮基金
001228,国联安鑫享灵活配置混合A,混合型,薛琳,国联安基金
001229,德邦福鑫灵活配置混合A,混合型,许文波,德邦基金
001231,银华泰利灵活配置混合A,混合型,葛鹤军,银华基金
001239,长盛国企改革混合,混合型,田间,长盛基金
001244,华泰柏瑞量化智慧混合,混合型,田汉卿,华泰柏瑞基金
001247,华泰柏瑞新利混合A,混合型,杨景涵,华泰柏瑞基金
001249,易方达新利灵活配置混合,混合型,张清华,易方达基金
001250,天弘新活力混合,混合型,钱文成,天弘基金
001252,中海进取收益混合,混合型,许定晴,中海基金
001253,建信回报灵活配置混合,混合型,牛兴华,建信基金
001254,泰达宏利新起点混合A,混合型,庞宝臣,泰达宏利基金
001255,长城改革红利混合,混合型,赵波,长城基金
001256,泓德优选成长混合,混合型,王克玉,泓德基金
001259,德邦鑫星稳健灵活配置混合,混合型,戴鹤忠,德邦基金
001260,广发安心混合,混合型,代宇,广发基金
001261,中融新机遇混合,混合型,姜涛,中融基金
001262,大成景明灵活配置混合A,混合型,朱哲,大成基金
001263,大成景穗灵活配置混合A,混合型,陈会荣,大成基金
001264,银华恒利灵活配置混合A,混合型,葛鹤军,银华基金
001265,国泰兴益灵活配置混合A,混合型,樊利安,国泰基金
001266,国投瑞银招财混合,混合型,綦缚鹏,国投瑞银基金
001267,泰达宏利蓝筹混合,混合型,陈丹琳,泰达宏利基金
001268,富国国家安全主题混合,混合型,王海军,富国基金
001270,英大灵活配置混合型发起式A,混合型,袁忠伟,英大基金
001271,英大灵活配置混合型发起式B,混合型,袁忠伟,英大基金
001272,兴业聚利灵活配置混合,混合型,腊博,兴业基金
001273,民生加银新动力混合A,混合型,杨林耘,民生加银基金
001274,民生加银新动力混合D,混合型,杨林耘,民生加银基金
001275,中邮创新优势灵活配置混合,混合型,刘田,中邮基金
001276,建信新经济灵活配置混合,混合型,许杰,建信基金
001278,前海开源清洁能源混合A,混合型,邱杰,前海开源基金
001279,中海积极增利混合,混合型,左剑,中海基金
001280,银华聚利灵活配置混合A,混合型,哈默,银华基金
